Assembly Accession,Assembly Name,Organism Name,Organism Taxonomic ID,Organism Infraspecific Names Breed,Organism Infraspecific Names Strain,Organism Infraspecific Names Cultivar,Organism Infraspecific Names Ecotype,Organism Infraspecific Names Isolate,Organism Infraspecific Names Sex,Annotation Name,Assembly Stats Total Sequence Length,Assembly Stats Total Number of Chromosomes,Assembly Level,Assembly Release Date,WGS project accession,Assembly Stats Number of Scaffolds
GCA_001642375.2,Mlong_CMEN585_v3,Mentha longifolia,38859,,,,,CMEN585,,,468946732,12,Chromosome,1/11/22,LSBG02,307
GCA_003412495.2,ASM341249v2,Echium plantagineum,113446,,,N1-2015,,,,,349027617,8,Chromosome,5/31/19,QFAX02,809
GCA_024174645.1,Salk_lm5633_a03,Lemna minuta,161101,,,,,lm5633,,,360444074,21,Chromosome,7/11/22,JAHCZF01,2381
GCF_013358625.1,SCU_Mint_v3,Macadamia integrifolia,60698,,,HAES 741,,,,NCBI Macadamia integrifolia Annotation Release 100,744777467,14,Chromosome,6/23/20,JAAEEG01,2643
GCA_004135705.1,ASEM_AUS1_V1.0,Alloteropsis semialata,435756,,,,AUS1-1,,,,747191627,9,Chromosome,2/4/19,QPGU01,686
GCF_000816755.2,Araip1.1,Arachis ipaensis,130454,,,K30076,,,,NCBI Arachis ipaensis Annotation Release 101,1353504219,10,Chromosome,4/25/17,JQIO01,997
GCA_023539305.1,CUHK_Ilex_v2.1,Ilex asprella,185493,,,,Hong Kong,PC2021,,,804071636,19,Chromosome,5/25/22,JAHQCQ01,48774
GCA_024086825.1,ASM2408682v1,Abrus pulchellus subsp. cantoniensis,858909,,,,,JGC-1,,,381267853,11,Chromosome,7/6/22,JAKRVW01,29
GCA_950022295.1,lpBroSter1.1,Bromus sterilis,55777,,,,,,,,2677905839,7,Chromosome,6/27/23,CATLOQ01,249
GCA_963693085.1,laAliPlan1.1,Alisma plantago-aquatica,15000,,,,,,,,9377969683,7,Chromosome,1/8/24,CAVNZW01,236
GCA_023525975.1,ASM2352597v1,Smallanthus sonchifolius,185202,,,Yunnan,,,,"Annotation submitted by Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences",2716517244,29,Chromosome,5/24/22,JAKNSE01,522
GCA_023935145.1,ASM2393514v1,Bretschneidera sinensis,28529,,,,,HZ_2021,,,1213742607,9,Chromosome,6/28/22,JALCZK01,553
GCA_026545225.1,ASM2654522v1,Cornus controversa,60118,,,,,Cco20220522-01,,,771803013,10,Chromosome,12/2/22,JANPWI01,62
GCF_029962835.1,MsV1,Magnolia sinica,86752,,,,,HGM2019,,GCF_029962835.1-RS_2023_07,1838578862,19,Chromosome,5/12/23,JARNKS01,127
GCA_037074515.1,ASM3707451v1,Mimosa bimucronata,587864,,,,,GJHXC-agis,,,640548845,13,Chromosome,3/13/24,JAYWLG01,65
GCA_033882615.1,MA,Malus asiatica,106548,,,Zisai Pearl,,,,,662379014,17,Chromosome,11/22/23,JAOVFK01,80
GCA_963277665.1,drVisAlbu1.1,Viscum album,3972,,,,,,,,94261041113,49,Chromosome,10/7/23,CAUJRU01,5096
GCA_036898165.1,MJU_Smar_1.0,Silybum marianum,92921,,,Silyking,,EM05,,,694367011,17,Chromosome,2/28/24,JAWIMA01,42
GCA_028749045.1,ASM2874904v1,Cupressus sempervirens,13469,,,,,cs-2001-9-10,hermaphrodite,,10012101419,11,Chromosome,2/21/23,JAPHAW01,18
GCA_034509755.1,ASM3450975v1,Anisodus tanguticus,243964,,,,,KB-2021,,"Annotation submitted by Kunming Institute of Botany, Chinese Academy of Sciences",1262549439,24,Chromosome,12/26/23,JAVYJV01,131
GCA_034642375.1,ASM3464237v1,Vigna nakashimae,157749,,,,,JP247291,,,549518992,11,Chromosome,12/27/23,JAUPSU01,15
GCA_027405835.1,Asclepias_syriaca_v1.0_chromosomes,Asclepias syriaca,48545,,,,,BTI_100,,,316865383,11,Chromosome,12/28/22,JAPHNG01,660
GCA_015731905.1,SDv1.1,Salix dunnii,1413687,,,,,FAFU-HL-1,female,Annotation submitted by Fujian Argriculture and Forestry University,327222375,19,Chromosome,12/11/20,JADGMS01,27
GCA_029255685.2,ASM2925568v2,Silene conica,39875,,,,,ABR,,,875227194,10,Chromosome,9/29/23,JAQQAY02,162
GCA_951799425.1,drIleAqui2.1,Ilex aquifolium,4298,,,,,,,,799967978,20,Chromosome,5/27/23,CATOHC01,104
GCF_020921035.1,ASM2092103v1,Rhodamnia argentea,178133,,,,,NSW1041297,,NCBI Rhodamnia argentea Annotation Release 101,346714100,11,Chromosome,11/22/21,JAJJMR01,75
GCA_030279155.1,ASM3027915v1,Forsythia viridissima,205691,,,,China: Zhengzhou,JZH,,,739166392,14,Chromosome,6/20/23,JASVES01,23
GCA_026401315.1,BYU_DyAmbr,Dysphania ambrosioides,330163,,,,,P I604781,,,468771972,16,Chromosome,11/27/22,JAOBMZ01,189
GCA_947179155.2,drHedHeli1.2,Hedera helix,4052,,,,,,,,1198586830,24,Chromosome,12/6/22,CAMXCC02,53
GCA_948329865.1,daLinVulg1.1,Linaria vulgaris,43171,,,,,,,,759825098,6,Chromosome,1/28/23,CAOJCB01,38
GCA_021442195.1,S.fallax v1.1,Sphagnum fallax,53036,,MN,,,,,Annotation submitted by DOE Joint Genome Institute,395135179,20,Chromosome,1/18/22,JAJQJK01,74
GCA_028015225.1,CAF_CaMyos_1.0,Carex myosuroides,140873,,,,,CaMyos_CAF,,,412684279,29,Chromosome,1/31/23,JANSWA01,214
GCF_004785595.1,Jm3101_v1.0,Juglans microcarpa x Juglans regia,2249226,,,,,MS1-56,,NCBI Juglans microcarpa x Juglans regia Annotation Release 100,527895757,16,Chromosome,4/16/19,QKZX01,154
GCA_000390325.3,ASM39032v3,Nicotiana tomentosiformis,4098,,,,,,,,1741753706,12,Chromosome,11/13/23,ASAG02,569
GCA_021527575.1,ASM2152757v1,Ensete glaucum,482298,,,,,EGL_1,,,494938021,9,Chromosome,1/20/22,JAHSUZ01,49
GCA_009078335.1,ASM907833v1,Salix brachista,2182728,,,,,br00,female,Annotation submitted by Chinese Academy of Sciences,338822942,19,Chromosome,10/22/19,VDCV01,28
GCA_007990325.1,Gossypium_darwinii_v1.1,Gossypium darwinii,34276,,,,,1808015.09,,Annotation submitted by HudsonAlpha Genome Sequencing Center,2182957963,26,Chromosome,8/27/19,VKGI01,821
GCA_950295325.1,cbPolComm4.1,Polytrichum commune,3213,,,,,,,,407864335,7,Chromosome,5/1/23,CATNTY01,69
GCA_023736055.1,g3h1,Quercus glauca,103489,,,,,JXL012,,,903125783,12,Chromosome,6/16/22,JALXKL01,415
GCA_029891385.1,ASM2989138v1,Erythroxylum novogranatense,1862640,,,,,KIB-2018,,"Annotation submitted by Kunming Institute of Botany, Chinese Academy of Sciences",1299259972,12,Chromosome,5/15/23,JAIWQS01,262
GCA_030762865.1,ASM3076286v1,Leonurus japonicus,4138,,,YMC-01,,,,,489343149,10,Chromosome,8/21/23,JAUZNL01,46
GCA_964106655.1,drFraAlnu1.hap2.1,Frangula alnus,106677,,,,,,,,281245521,10,Chromosome,6/6/24,CAXKYO01,18
GCA_019914945.1,TyphaL0001,Typha latifolia,4733,,,,,L0001,,,213848072,15,Chromosome,9/9/21,JAAWWQ01,76
GCA_963082935.1,drMalRobu1.1,Malus x robusta,1184610,,,,,,,,620813678,17,Chromosome,8/9/23,CAUJBI01,35
GCA_022496015.1,ASM2249601v1,Hordeum marinum,4519,,,,,H559,,,3815965547,7,Chromosome,3/7/22,JAAAWK01,1197
GCA_950106755.1,cbCliDend2.1,Climacium dendroides,70131,,,,,,,,413060100,11,Chromosome,5/1/23,CATNNA01,130
GCA_946800305.1,drMedArab1.1,Medicago arabica,70936,,,,,,,,515505002,8,Chromosome,9/15/22,CAMPEK01,107
GCA_958450325.1,dcAgrGith1.1,Agrostemma githago,39848,,,,,,,,1735037658,24,Chromosome,7/18/23,CAUDLW01,128
GCA_963669365.1,daVerThap1.1,Verbascum thapsus,39388,,,,,,,,346258196,18,Chromosome,12/6/23,CAVLHD01,62
GCA_019914995.1,ASM1991499v1,Acanthochlamys bracteata,145231,,,,,21027,,,197965679,20,Chromosome,9/9/21,JAFKAK01,821
GCA_964188215.1,drFraMosc1.hap1.1,Fragaria moschata,64940,,,,,,,,223967537,7,Chromosome,6/21/24,CAXLNS01,59
GCA_963242795.1,drIngLeio1.1,Inga leiocalycina,486065,,,,,,,,947967512,13,Chromosome,8/20/23,CAUJLA01,36
GCA_033568475.2,ASM3356847v2,Henckelia pumila,405737,,,,,YLH828,,,884533598,4,Chromosome,11/13/23,JAPAFC01,132
GCA_019845555.1,ASM1984555v1,Aristolochia fimbriata,158543,,,,,IBCAS-2021,,"Annotation submitted by Institute of Botany, The Chinese Academy of Sciences",257701785,7,Chromosome,9/2/21,JAINDJ01,232
GCA_029379385.1,Quisap_AO_1.2,Quillaja saponaria,32244,,,,,S10,,Annotation submitted by John Innes Centre,354887050,14,Chromosome,3/24/23,JARAOO01,623
GCA_019202795.1,ASM1920279v1,Arabidopsis thaliana x Arabidopsis arenosa,1240361,,,,,Allo738,,Annotation submitted by Nanjing Agricultural University,268555770,13,Chromosome,7/13/21,JAEFBK01,214
GCA_014851425.1,ASM1485142v1,Senna tora,362788,,,Myeongyun,,,,Annotation submitted by National Institute of Agricultural Sciences,526356977,13,Chromosome,10/7/20,JAAIUW01,444
GCA_025667525.1,Gcor_v1,Glebionis coronaria,99038,,,huangdicai,,,,,6801056618,9,Chromosome,10/12/22,JANFOE01,3476
GCA_030490835.1,ASM3049083v1,Annona cherimola,49314,,,,,Booth,,,794023491,7,Chromosome,7/18/23,JASFXW01,1377
GCA_024500025.1,ASM2450002v1,Syzygium aromaticum,219868,,,,,JA318A,,,370257752,11,Chromosome,8/3/22,JACTMA01,24
GCA_963680865.1,dcSpeMari1.1,Spergularia marina,191669,,,,,,,,499288027,18,Chromosome,12/7/23,CAVMGE01,278
GCA_948567375.1,cmLunCruc20.1,Lunularia cruciata,56931,,,,,,,,565567803,9,Chromosome,2/3/23,CAOYZS01,78
GCA_947561395.2,drBuxSemp1.2,Buxus sempervirens,4002,,,,,,,,676710827,14,Chromosome,3/10/24,CANNZS02,258
GCA_963556465.1,dmBerVulg1.1,Berberis vulgaris,258209,,,,,,,,1297525870,14,Chromosome,10/17/23,CAUVZN01,146
GCA_015143295.1,ASM1514329v1,Tetracentron sinense,13715,,,,,YNK0,,Annotation submitted by Ori-Gene Co. Ltd.,1160336735,24,Chromosome,11/2/20,JABCRI01,1483
GCA_033971965.1,UNAM_Cfic_1.0,Cucurbita ficifolia,37645,,,,,JBR-2023a,,,240643616,20,Chromosome,11/29/23,JASJUX01,68
GCA_011114355.1,ASM1111435v1,Carex littledalei,544730,,,,,C.B.Clarke,,Annotation submitted by Tibet Academy of Agricultural and Animal Sciences,373852675,29,Chromosome,3/17/20,SWLB01,214
GCA_014282245.1,ASM1428224v1,Rhododendron simsii,118357,,,,,adult_tree_wgs_1,,Annotation submitted by Ori-Gene Co. Ltd.,527682226,13,Chromosome,8/25/20,WJXA01,550
GCA_964188135.1,drUrtDioi1.1,Urtica dioica,3501,,,,,,,,618025273,13,Chromosome,6/21/24,CAXLOW01,3280
GCA_004329165.1,ASM432916v1,Spatholobus suberectus,455371,,,SS-2018,,,,Annotation submitted by Guangxi Botanical Garden of Medicinal Plants,798470440,9,Chromosome,3/7/19,QUWT01,816
GCA_035582765.1,UCONN_Acne_2,Acer negundo,4023,,,,,Arnold Arboretum Accession 253-2013*B,,Annotation submitted by University of Connecticut,420859882,13,Chromosome,1/12/24,JAUKTQ01,31
GCA_017893485.1,ASM1789348v1,Hemerocallis citrina,1249515,,,Mengzihua,,,,,3775579356,11,Chromosome,4/12/21,JACEHZ01,734
GCF_907164915.1,dImpGla2.1,Impatiens glandulifera,253017,,,,,,,NCBI Impatiens glandulifera Annotation Release 100,653879104,9,Chromosome,5/17/21,CAJRAH01,1114
GCA_005393395.2,CCRI_HENU_Gaus_1.1,Gossypium australe,47621,,,,wild,PA1801,,Annotation submitted by The institute of Cotton Research of Chinese Academy Agricultural Sciences,1743386794,13,Chromosome,9/17/19,SMMG02,564
GCA_020921065.1,USDA_Vadar_1.0_pri,Vaccinium darrowii,229202,,,NJ 8807/NJ 8810,,,,Annotation submitted by Hulse-KempLab,582668408,12,Chromosome,11/22/21,JAFMTH01,107
GCA_026770425.1,BoeM4B,Boechera divaricarpa,115915,,,,,M4B,,,440807932,15,Chromosome,12/13/22,JAMKOQ01,698
GCA_030737835.1,ASM3073783v1,Acorus gramineus,55184,,,,Fujian,SCP,,Annotation submitted by Fujian Agriculture and Forestry University,398581865,11,Chromosome,8/16/23,JAUJYN01,137
GCA_023653495.1,Mcan_v2,Melastoma candidum,119954,,,,,YZ-2022,,Annotation submitted by Sun Yat-sen University,256218469,12,Chromosome,6/7/22,JAKZET01,266
GCA_020826895.1,ASM2082689v1,Aquilegia kansuensis,1291450,,,,,GX-2021,,,293205786,7,Chromosome,11/16/21,JAJHQE01,651
GCA_029783415.1,ASM2978341v1,Anisodus acutangulus,402998,,,,,KIB-2019,,"Annotation submitted by Kunming Institute of Botany, Chinese Academy of Sciences",1260858109,24,Chromosome,4/18/23,JAJAGQ01,62
GCA_020226215.1,CAF_Sgla_1.0,Sindora glabra,2590455,,,,Hainan,,,,1113920175,12,Chromosome,10/5/21,JAIUCU01,361
GCA_022985045.1,ASM2298504v1,Macadamia tetraphylla,512563,,,,,Yunre-95,,,750866652,14,Chromosome,4/19/22,JAJSZK01,1059
GCA_030704615.1,CNU_Tlep_v3.1,Takakia lepidozioides,37425,,,,Tibetan,Taka5,,,325282794,4,Chromosome,8/14/23,JAKLZA01,379
GCA_021442155.1,ASM2144215v1,Cymbidium sinense,112615,,,,,YW-2021,,,3525773740,20,Chromosome,1/12/22,JAKCPB01,2174
GCA_963921425.1,drDryOcto1.1,Dryas octopetala,57948,,,,,,,,229579301,9,Chromosome,1/10/24,CAWUFM01,25
GCA_037672795.1,ASM3767279v1,Lagerstroemia speciosa,122810,,,,,WZ-2024a,,,306758153,24,Chromosome,3/27/24,JBBEYF01,367
GCA_019656835.1,ZJU_Rovatum_v1,Rhododendron ovatum,49169,,,,,QSH,,,549690105,13,Chromosome,8/20/21,JADHZH01,183
GCA_037975025.1,CUHK_Eaga_2.1,Excoecaria agallocha,241838,,,,,JHEA2023,,,1332419997,18,Chromosome,4/8/24,JBBPFJ01,1402
GCA_015476505.1,Embrapa_Uruz_1.0,Urochloa ruziziensis,240450,,,,,Clone 69,,,604561744,9,Chromosome,11/16/20,WEIB01,1146
GCA_030737845.1,ASM3073784v1,Acorus calamus,4465,,,,Fujian,CP,,Annotation submitted by Fujian Agriculture and Forestry University,721748827,22,Chromosome,8/16/23,JAUJYO01,1543
GCA_026214975.1,ASM2621497v1,Gentiana macrophylla,50765,,,,Ningxia,Zhou2019090401,,,1791703142,13,Chromosome,11/18/22,JAOBSW01,1264
GCA_022545495.1,ASM2254549v1,Chrysanthemum lavandulifolium,146996,,,G1,,,,,2670468074,9,Chromosome,3/21/22,JAHFWF01,178
GCA_007726485.1,CERZOS_EC1.0,Eragrostis curvula,38414,,,Victoria,,,,Annotation submitted by CERZOS-CONICET,603072269,7,Chromosome,8/5/19,RWGY01,1143
GCA_018901935.1,ASM1890193v1,Pugionium cornutum,557876,,,,,SCU-Liu-2020,,,550389588,11,Chromosome,6/16/21,JAENJI01,1919
GCA_025688845.1,ASM2568884v1,Cucumis hystrix,396994,,,,Yunnan,CH01,,,297342824,14,Chromosome,10/14/22,JACWES01,2188
GCA_022817965.1,SlydLA2951_v2.0,Solanum lycopersicoides,142760,,,,,LA2951,,,1286520287,12,Chromosome,4/6/22,JAJJBR01,3066
GCF_009730915.1,TDr96_F1_v2_PseudoChromosome.rev07_lg8_w22 25.fasta,Dioscorea cayenensis subsp. rotundata,55577,,,TDr96_F1,,,,NCBI Dioscorea cayenensis subsp. rotundata Annotation Release 100,584153202,28,Chromosome,11/25/19,BLBR01,2253
GCF_022539505.1,APGP_CSIRO_Lrig_0.1,Lolium rigidum,89674,,,,,FL_2022,,NCBI Lolium rigidum Annotation Release 100,2438467165,7,Chromosome,3/14/22,JAKKIG01,1764
GCA_013146195.2,Bonnet_bellflower_draft_genome_2.0,Codonopsis lanceolata,103999,,,,,NIHHS 239928,,,1273258064,8,Chromosome,1/19/21,JABEVN02,4828
GCA_904067115.1,aegilops_sharonensis_1644_assembly,Aegilops sharonensis,58530,,,,,,,,6704676607,7,Chromosome,2/1/23,CAJFDF01,93484
GCA_013677235.1,ASM1367723v1,Gossypium klotzschianum,34286,,,,,57,,Annotation submitted by Mississippi State University,670958353,13,Chromosome,9/3/20,JABFAB01,316819
GCA_037043015.1,EGI_Barg_1.0,Bryum argenteum,37413,,,,,EGI-YYZX-001,female,,258863999,11,Chromosome,3/7/24,JAWJUS01,25
GCA_013621005.1,IRD_Aeve_1.1,Aeschynomene evenia,561484,,,,,CIAT22838,,,375512268,10,Chromosome,7/29/20,RYYW01,1449
GCF_019186545.1,ASM1918654v1,Solanum stenotomum,172797,,,,,F172,,NCBI Solanum stenotomum Annotation Release 100,846249028,12,Chromosome,7/9/21,JAERIQ01,17083
GCA_030864225.1,ASM3086422v1,Capsicum baccatum var. pendulum,40320,,,PI_632928,,,,,3310135342,12,Chromosome,8/25/23,JAQZCD01,432
GCA_019706035.1,IVFCAAS_Rs09_1.0,Raphanus raphanistrum subsp. raphanistrum,109997,,,,,RS09,,,421544425,9,Chromosome,8/25/21,JACZFZ01,45
GCA_032727855.1,ASM3272785v1,Quercus ilex subsp. ballota,3110926,,,,,MR-2023,,,841943058,12,Chromosome,10/18/23,JAVFWQ01,43
GCA_037953625.1,Cpal_1,Crotalaria pallida,3830,,,,,ZHUSHIDOU_FW_LH,,"Annotation submitted by Agricultural Genomics Institute at Shenzhen,Chinese Academy of Agricultural Sciences",1217412848,8,Chromosome,4/4/24,JAYWIO01,187
GCA_040167595.1,Saponaria_officinalis_var_Norfolk2_v1.0,Saponaria officinalis,3572,,,,,JIC,,Annotation submitted by John Innes Centre,2089936116,14,Chromosome,6/12/24,JBDFQZ01,129
GCA_040143745.1,ASM4014374v1,Cnidium monnieri,94007,,,,,YZ-2024,,,1209943476,10,Chromosome,6/12/24,JBDIYB01,1775
GCA_954870635.1,daArcMinu1.1,Arctium minus,143172,,,,,,,,1903063616,18,Chromosome,7/14/23,CATPAE01,30
GCA_039654915.1,ASM3965491v1,Aquilaria yunnanensis,452568,,,,China,Yncx-01,,,846791237,8,Chromosome,5/17/24,JBDJPA01,412
GCA_039905865.1,ASM3990586v1,Camellia crapnelliana,542719,,,,,FZ-2024a,,,2944059117,15,Chromosome,5/29/24,JBDORG01,746
GCA_024322285.1,ASM2432228v1,Musa beccarii,192045,,,,China,Ge-LHJ-2021,,,569617942,9,Chromosome,7/21/22,JAIWVJ01,449
GCA_026929855.1,FRR_PoAnn_1.0,Poa annua,93036,,,MN234,,,,,1779762036,14,Chromosome,12/16/22,JAPMLF01,26
GCA_033439115.1,ASM3343911v1,Firmiana major,197122,,,,Dadong,LijiangPopulation-01,,,1416464236,20,Chromosome,11/9/23,JAVKOW01,26
GCA_036553675.1,ASM3655367v1,Solanum okadae,73575,,,OKA15,,,,,728982852,12,Chromosome,2/12/24,JAWDCX01,214
GCA_037074585.1,ASM3707458v1,Biancaea sappan,483143,,,,,SM-agis,,,870061267,12,Chromosome,3/13/24,JAYWLH01,153
GCA_030407385.1,ASM3040738v1,Solanum americanum,109975,,,,wild,sp2271,,,1080160078,12,Chromosome,7/6/23,JATABZ01,450
GCA_029948455.1,IEDA_Sros_1.0,Solanum rostratum,45839,,,,,YZ_2023a,,,898389072,12,Chromosome,5/8/23,JARACL01,221
GCA_963922045.1,dcPerMacu1.1,Persicaria maculosa,457184,,,,,,,,1505165586,21,Chromosome,2/9/24,CAWUHS01,171
GCA_033060915.1,ASM3306091v1,Euryodendron excelsum,194712,,,,,ZXM,,,1059895887,23,Chromosome,10/27/23,JARUNX01,85
GCA_037428765.1,ASM3742876v1,Rubia yunnanensis,1650721,,,,,XL_2022,,,1272191973,11,Chromosome,3/27/24,JALMRO01,25
GCA_038025085.1,ASM3802508v1,Tetragonia tetragonoides,45318,,,,,FanXin,,,759901867,16,Chromosome,4/17/24,JBBMRK01,49
GCA_037349125.1,ASM3734912v1,Eucalyptus regnans,87681,,,,,sf005,,,504553124,11,Chromosome,3/20/24,JAYMYU01,230
GCA_020496765.1,ZSTU_Gsto,Gossypium stocksii,47602,,,,E1,,,Annotation submitted by zstu,1448113609,13,Chromosome,10/14/21,JAIQCV01,127
GCA_037074485.1,ASM3707448v1,Delonix regia,72433,,,,,FHM-agis,,,580479956,14,Chromosome,3/13/24,JAYWLE01,232
GCA_033962825.2,MM106 haploid consensus genome,Malus hybrid rootstock,370305,,,MM106,,,,,695438985,17,Chromosome,12/18/23,JAXBLK02,898
GCF_937616625.2,ddMerAnnu1.2,Mercurialis annua,3986,,,,,,,GCF_937616625.2-RS_2023_05,453168992,8,Chromosome,10/31/22,CALLYH02,63
GCA_018127125.1,RGv1.1,Rhododendron griersonianum,479676,,,,,WSP0,,Annotation submitted by Ori-Gene Co. Ltd.,674776022,13,Chromosome,4/23/21,JACTNZ01,46
GCA_033883245.1,MO,Malus orientalis,106562,,,,,LC-2022,,,664501076,17,Chromosome,11/22/23,JAPYKY01,198
GCA_023621385.1,ASM2362138v1,Quercus gilva,103490,,,,Yuchi State-owned Forest Farm,YC01,,,889842715,12,Chromosome,6/2/22,JAMASY01,515
GCA_030954485.1,USVL531_CMuc_1.0,Citrullus lanatus subsp. mucosospermus,519315,,,USVL531,,,,,365295859,11,Chromosome,9/5/23,JAKCFO01,67
GCA_963580455.1,drEuoEuro1.1,Euonymus europaeus,123417,,,,,,,,441882483,16,Chromosome,11/4/23,CAUZKV01,29
GCA_031439595.1,Psan_1.0,Pterocarpus santalinus,1071199,,,,,GSW-2023a,,,623865624,10,Chromosome,9/14/23,JAVHNO01,271
GCA_030763125.1,ASM3076312v1,Hippophae gyantsensis,193515,,,,,higy01,,,716322747,12,Chromosome,8/21/23,JAUQSU01,13
GCA_947179395.2,daPulDyse1.2,Pulicaria dysenterica,56535,,,,,,,,833230194,9,Chromosome,12/6/22,CAMXCE02,60
GCA_964106835.1,daGalApar1.hap1.1,Galium aparine,29788,,,,,,,,857556159,32,Chromosome,6/6/24,CAXKYX01,149
GCA_963682175.1,laTriMari1.1,Triglochin maritima,55501,,,,,,,,1062879311,24,Chromosome,12/7/23,CAVMKL01,193
GCA_947034895.1,cbRhyLore1.1,Rhytidiadelphus loreus,28468,,,,,,,,407207276,5,Chromosome,10/8/22,CAMQQG01,530
GCA_036507285.1,ASM3650728v1,Trichosanthes cucumerina,50543,,,,,JZ-2020a,,,919777820,11,Chromosome,2/22/24,JAYKKG01,69
GCA_958296335.1,drUrtUren1.1,Urtica urens,473050,,,,,,,,339647193,12,Chromosome,7/6/23,CATQIS01,91
GCA_954870855.1,daScuMino1.1,Scutellaria minor,1053395,,,,,,,,341752472,14,Chromosome,7/14/23,CATOZO01,20
GCA_963580275.1,drCraLaev2.1,Crataegus laevigata,298643,,,,,,,,653049427,17,Chromosome,11/5/23,CAUZKJ01,45
GCA_946800695.1,drGeuUrba1.1,Geum urbanum,57919,,,,,,,,1304378891,21,Chromosome,9/15/22,CAMPEP01,24
GCA_949130495.1,daSamNigr1.1,Sambucus nigra,4202,,,,,,,,11813712848,18,Chromosome,4/8/23,CASBWL01,664
GCA_947034885.2,cbThuTama2.2,Thuidium tamariscinum,67428,,,,,,,,363012664,11,Chromosome,3/3/24,CAMQQF02,17
GCA_946814005.1,drChaAngu1.1,Chamaenerion angustifolium,13055,,,,,,,,655862486,18,Chromosome,9/15/22,CAMPFE01,123
GCA_021904315.1,S.magellanicum v1.1,Sphagnum magellanicum,128215,,,,,Gp0060578,,Annotation submitted by DOE Joint Genome Institute,439011478,20,Chromosome,2/8/22,JAKJHR01,58
GCA_029844215.1,ASM2984421v1,Przewalskia tangutica,337188,,,,,leaf-Ptu-Hic,,,3028449525,23,Chromosome,4/21/23,JAQGDG01,663
GCA_018894105.1,Jmimo_V1,Jacaranda mimosifolia,185774,,,,,chengdu1,,,707411631,18,Chromosome,6/16/21,JADPMQ01,75
GCA_934048045.1,dcPolAvic1.1,Polygonum aviculare,137693,,,,,,,,351574766,10,Chromosome,3/27/22,CAKOHF01,86
GCA_954871525.1,drParJuda1.1,Parietaria judaica,33127,,,,,,,,538732769,13,Chromosome,7/14/23,CATOZS01,89
GCA_014529385.2,ASM1452938v2,Adiantum capillus-veneris,13818,,,,,H3,,"Annotation submitted by Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences",4822565590,30,Chromosome,7/5/22,JABFUD02,601
GCA_963678965.1,daCruLaev1.1,Cruciata laevipes,29786,,,,,,,,296599190,11,Chromosome,12/6/23,CAVMBY01,12
GCA_031216125.1,Dcoc_1.0,Dalbergia cochinchinensis,106130,,,,,GSW-2023c,,,700604944,10,Chromosome,9/8/23,JAVHNM01,319
GCA_946800315.1,daMisOron1.1,Misopates orontium,102599,,,,,,,,361008136,8,Chromosome,9/15/22,CAMPEG01,28
GCA_023864065.1,ASM2386406v1,Camelina neglecta,2864041,,,,,DAO 902176,,,210292220,6,Chromosome,6/23/22,JALDXE01,141
GCA_030064425.1,ASM3006442v1,Trapa bicornis,236974,,,,,MQ_210607,,,489714190,24,Chromosome,5/24/23,JAPVLX01,194
GCA_035582545.1,ASM3558254v1,Trapa natans,22666,,,Nanhuling,,F231,,Annotation submitted by Zhejiang University,477423239,24,Chromosome,1/12/24,JAXQNO01,32
GCF_018873765.1,Tspe_v1,Telopea speciosissima,54955,,,,Mountain lineage,NSW1024214,,NCBI Telopea speciosissima Annotation Release 100,823061212,11,Chromosome,6/14/21,JAGEPE01,1289
GCA_034190965.1,ASM3419096v1,Prunus campanulata,136465,,,,,FDSW200002557,,,282329729,8,Chromosome,12/7/23,JAXCME01,280
GCA_037074715.1,ASM3707471v1,Magnolia kwangsiensis,86722,,,,,DLG-2023a,,,2572270062,19,Chromosome,3/13/24,JAYEFE01,227
GCA_947034835.1,daBalNigr1.1,Ballota nigra,194200,,,,,,,,1186790492,11,Chromosome,10/7/22,CAMQQC01,17
GCA_963555705.1,daLigVulg1.1,Ligustrum vulgare,13597,,,,,,,,1384034573,23,Chromosome,10/5/23,CAUVWQ01,49
GCA_032871835.1,Dipteronia_dye,Dipteronia dyeriana,168575,,,,,KIB01,,Annotation submitted by Zhejiang University,914769786,9,Chromosome,10/27/23,JANJYI01,90
GCA_027562975.1,MPIPZ_rhyBre1m_1.0,Rhynchospora breviuscula,2022672,,,,,rhyBre1mFocal,,Annotation submitted by Max-Planck institute for plant breeding research,420702111,5,Chromosome,1/4/23,JAMQYH01,1505
GCA_951799445.1,cbIsoMyos1.1,Isothecium myosuroides,245335,,,,,,,,388278473,11,Chromosome,5/27/23,CATOGU01,254
GCA_964058885.1,lpCarPend1.1,Carex pendula,312760,,,,,,,,362260125,31,Chromosome,6/5/24,CAXKVP01,33
GCA_963675135.1,daGalTetr1.1,Galeopsis tetrahit,1000418,,,,,,,,1430738615,16,Chromosome,12/11/23,CAVLYN01,460
GCA_033398695.1,ASM3339869v1,Orobanche coerulescens,223100,,,,,Dok-Ocoe,,,3648003138,19,Chromosome,11/7/23,JAWKAU01,1941
GCA_954870475.1,daEupConf1.1,Euphrasia confusa,475003,,,,,,,,976479663,22,Chromosome,7/15/23,CATPAB01,448
GCA_024222315.1,ASM2422231v1,Thymus quinquecostatus,228974,,,,,CNT39,hermaphrodite,,528675121,13,Chromosome,7/13/22,JANAFA01,478
